date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-01-31,-1.2,-4.12,-4.14,-7.1,,-13,88,81.3,79.5,71,-3,-6.9,-7.2,-11.4,13,6.21,7.5,2,,,102.09,101.69,101.64,101.2,101.27,100.87,100.83,100.39,24100,17380,18500,12900,,,,,22.1,0,0,0,0,,,,,07:26:00,1706703960,7.43,17:08:00,1706738880,17.13,9.7,1,1,1,1,0,0,,,,,,8,7.9,7.5,7,,,,
2024-01-30,-3.6,-5.65,-5.35,-7.1,,-15,84,68.7,70.5,57,-6,-10.6,-9.5,-13,28,16.08,15,2,33,9,102.49,102.28,102.31,102.12,101.67,101.46,101.49,101.3,24100,23460,21700,19300,,,,,23.4,0,0,0,0,,,,,07:27:00,1706617620,7.45,17:07:00,1706652420,17.12,9.67,1,1,-3,-3,-9,-9,,,,,,8,7.5,7.5,7,,,,
2024-01-29,0.2,-2.29,-3.95,-8.1,,-9,88,75.2,72.5,57,-2.9,-6.2,-6,-9.1,18,9.96,10,2,,,102.18,101.72,101.74,101.29,101.36,100.91,100.92,100.49,24100,23353.3,18500,12900,,,,,21.9,0,0,0,0,,,,,07:28:00,1706531280,7.47,17:05:00,1706565900,17.08,9.62,1,1,-3,-3,-12,-10,,,,,,8,5.3,5,2,,,,
2024-01-28,2.6,0.76,1.15,-0.3,,-3,100,89,85,70,1,-0.9,-0.9,-2.8,16,6.71,8.5,1,,,102.11,101.6,101.69,101.27,101.3,100.8,100.89,100.47,24100,17460,13250,2400,,,,,16.9,0,0,0,0,,,,,07:29:00,1706444940,7.48,17:04:00,1706479440,17.07,9.58,1,1,2,2,-6,-5,,,,,,8,7.2,6,4,,,,
2024-01-27,1.7,0.45,0.85,0,,-1,100,97.4,95,90,0.6,0.1,0.2,-0.3,8,3.12,4.5,1,,,102.57,102.36,102.37,102.16,101.76,101.55,101.56,101.35,19300,12506.7,11050,2800,,,,,17.1,0,0,0,0,,,,,07:30:00,1706358600,7.5,17:02:00,1706392920,17.03,9.53,1,1,2,2,-4,-3,,,,,,8,7.7,7,6,,,,
2024-01-26,2.3,0.8,0.89,-0.5,,-6,99,93.6,94.5,90,0.8,-0.1,-0.4,-1.7,19,9.12,11,3,,,102.37,102.02,102.05,101.72,101.56,101.21,101.24,100.91,24100,18340,16900,9700,,,,,17.1,0,0,0,0,,,,,07:31:00,1706272260,7.52,17:01:00,1706306460,17.02,9.5,,,1,2,-2,-2,,,,,,8,7.9,7.5,7,,,,
2024-01-25,1,-0.58,-1,-3,,-6,99,94.7,94.5,90,0.2,-1.3,-1.5,-3.2,14,5.96,8,2,,,102.54,102.32,102.27,102,101.72,101.5,101.45,101.18,24100,19193.3,16100,8100,,,,,19,0,0,0,0,,,,,07:32:00,1706185920,7.53,17:00:00,1706220000,17,9.47,1,1,0,0,-9,-8,,,,,,8,8,8,8,,,,
2024-01-24,-2.9,-7.5,-6.5,-10.1,,-18,98,89.5,82.5,67,-3.7,-9,-8.9,-14.2,21,11.17,12,3,31,8,103.46,102.86,102.76,102.07,102.63,102.03,101.94,101.25,24100,8200,13250,2400,,,,,24.5,0,0,0,0,,,,,07:33:00,1706099580,7.55,16:58:00,1706133480,16.97,9.42,,,-4,-4,-6,-6,,,,,,8,7.9,7,6,,,,
2024-01-23,-1.2,-3.46,-5.19,-9.2,,-15,92,68.6,72.5,53,-3.5,-8.7,-9.3,-15.1,25,12.83,15.5,6,37,8,103.59,103.25,103.07,102.56,102.76,102.43,102.25,101.74,24100,23780,21700,19300,,,,,23.2,0,0,0,0,,,,,07:34:00,1706013240,7.57,16:57:00,1706047020,16.95,9.38,1,1,-5,-2,-10,-8,,,,,,8,7.7,7.5,7,,,,
2024-01-22,-1,-6.17,-10.4,-19.8,,-23,93,79.5,73.5,54,-3.3,-9.3,-12.6,-21.8,31,13.42,16,1,42,24,103.02,102.59,102.67,102.32,102.17,101.76,101.83,101.49,24100,16846.7,12850,1600,,,,,28.4,0,0,0,0,,,,,07:35:00,1705926900,7.58,16:55:00,1705960500,16.92,9.33,1,1,-4,-4,-7,-7,,,,,,8,6.7,5,2,,,,
