date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-01-31,2.3,-2.3,-1.85,-6,,-11,89,81,81,73,-0.7,-5.2,-5.2,-9.6,11,7,7.5,4,,,101.92,101.54,101.47,101.01,99.89,99.5,99.45,99.01,16100,11406.7,12100,8100,,,,,19.9,0,0,0,0,0,,,15,07:29:00,1706704140,7.48,17:12:00,1706739120,17.2,9.72,1,1,3,3,-1,0,,,,,,,,,,,,,
2024-01-30,-2.9,-4.72,-4.4,-5.9,,-11,90,79.7,81,72,-5.9,-7.7,-7.7,-9.5,20,13.58,14.5,9,31,13,102.21,102.06,102.08,101.94,100.14,100.01,100.03,99.91,24100,21928.6,20100,16100,,,,,22.4,0,0,0,0,0,,,15,07:30:00,1706617800,7.5,17:10:00,1706652600,17.17,9.67,1,1,-2,0,-8,-6,,,,,,,,,,,,,
2024-01-29,1.5,-2.8,-3.15,-7.8,,-10,91,74.4,72,53,-4.5,-6.9,-7.2,-9.8,14,8.75,7,0,,,102.01,101.77,101.73,101.45,99.97,99.73,99.71,99.44,24100,23185.7,20100,16100,,,,,21.1,0,0,0,0,0,,,15,07:32:00,1706531520,7.53,17:09:00,1706566140,17.15,9.62,1,1,-1,-1,-8,-8,,,,,,,,,,,,,
2024-01-28,2.4,0.15,0.29,-1.8,,-7,99,84.7,84.5,70,-0.9,-2.2,-2.9,-4.9,19,8.04,9.5,0,29,34,102.04,101.64,101.71,101.38,100.03,99.63,99.7,99.38,,,,,,,,,17.7,0,0,0,0,0,,,16,07:33:00,1706445180,7.55,17:08:00,1706479680,17.13,9.58,1,1,0,1,-6,-5,,,,,,,,,,,,,
2024-01-27,2,-0.17,-0.05,-2.1,,-3,97,87.7,85,73,-1.5,-2,-2.2,-3,6,1.79,3,0,,,102.46,102.31,102.28,102.11,100.44,100.28,100.26,100.09,,,,,,,,,18.1,0,0,0,0,0,,,16,07:34:00,1706358840,7.57,17:06:00,1706393160,17.1,9.53,1,1,2,2,-2,-1,,,,,,,,,,,,,
2024-01-26,2,0.1,0.4,-1.2,,-4,93,84.6,83,73,-1.7,-2.2,-2.1,-2.5,12,6.21,7.5,3,33,34,102.35,102.09,102.11,101.87,100.33,100.05,100.08,99.82,16100,11300,12900,9700,,,,,17.6,0,0,0,0,0,,,16,07:35:00,1706272500,7.58,17:05:00,1706306700,17.08,9.5,,,1,1,-3,-2,,,,,,,,,,,,,
2024-01-25,1.4,-2.36,-2.34,-6.1,,-9,93,86.5,83.5,74,-1.9,-4.4,-4.5,-7.1,7,3.62,3.5,0,,,102.52,102.37,102.29,102.07,100.45,100.31,100.24,100.03,16100,11423.1,12100,8100,,,,,20.3,0,0,0,0,0,,,17,07:36:00,1706186160,7.6,17:03:00,1706220180,17.05,9.45,1,1,1,1,-5,-3,,,,,,,,,,,,,
2024-01-24,-5.9,-7.56,-7.15,-8.4,,-14,96,88.9,89,82,-7.1,-9.1,-8.9,-10.7,12,6.88,6,0,,,103.27,102.77,102.7,102.14,101.2,100.69,100.64,100.09,14500,7972.7,8450,2400,,,,,25.1,0,0,0,0,2.9,,,17,07:37:00,1706099820,7.62,17:02:00,1706133720,17.03,9.42,1,1,-3,0,-5,-3,,,,,,,,,,,,,
2024-01-23,-1.2,-4.69,-4.55,-7.9,,-12,84,71.6,73.5,63,-4.2,-9.1,-8.6,-13,15,8.29,9,3,28,4,103.54,103.26,103.05,102.55,101.42,101.17,100.97,100.51,19300,17380,15300,11300,,,,,22.6,0,0,0,0,0.1,,,17,07:37:00,1706013420,7.62,17:00:00,1706047200,17,9.38,1,1,-3,-3,-7,-6,,,,,,,,,,,,,
2024-01-22,-1.3,-4.56,-6.3,-11.3,,-14,88,72.8,69,50,-4.4,-8.9,-8.8,-13.3,13,7.58,7.5,2,,,102.75,102.43,102.45,102.15,100.67,100.36,100.37,100.07,19300,14200,10650,2000,,,,,24.3,0,0,0,0,0.3,,,17,07:38:00,1705927080,7.63,16:59:00,1705960740,16.98,9.35,1,1,-4,-2,-10,-8,,,,,,,,,,,,,
2024-01-21,-7.6,-14.44,-14.95,-22.3,,-27,85,73.2,67.5,50,-14.7,-18.4,-19.3,-23.9,15,7.25,8,1,,,103.1,102.88,102.81,102.51,100.99,100.78,100.7,100.41,,,,,,,,,33,0,0,0,0,0,,,17,07:39:00,1705840740,7.65,16:58:00,1705874280,16.97,9.32,1,1,-6,-6,-10,-9,,,,,,,,,,,,,
2024-01-20,-12.3,-15.49,-15.15,-18,,-26,82,70.9,71.5,61,-18.3,-19.6,-19.7,-21.1,25,15.71,16.5,8,35,33,102.47,102.01,102.12,101.76,100.37,99.92,100.02,99.67,,,,,,,,,33.1,0,0,0,0,0,,,17,07:40:00,1705754400,7.67,16:56:00,1705787760,16.93,9.27,,,-11,-11,-23,-19,,,,,,,,,,,,,
2024-01-19,-14.4,-17.94,-18.25,-22.1,,-29,85,71.6,70,55,-18.2,-21.9,-21.4,-24.7,13,9.42,9,5,,,102.11,101.92,101.94,101.78,99.95,99.81,99.81,99.68,19300,19300,19300,19300,,,,,36.2,0,0,0,0,0,,,17,07:41:00,1705668060,7.68,16:55:00,1705701300,16.92,9.23,1,1,-15,-15,-20,-19,,,,,,,,,,,,,
2024-01-18,-7.6,-10.43,-11.64,-15.7,,-19,90,79.4,78,66,-11,-13.3,-14.1,-17.2,18,6.25,9,0,,,101.89,101.53,101.49,101.08,99.82,99.44,99.43,99.04,19300,11400,13700,8100,,,,,29.6,0,0,0,0,0,,,17,07:41:00,1705581660,7.68,16:54:00,1705614840,16.9,9.22,1,1,-7,-7,-23,-22,,,,,,,,,,,,,
